Nickname,Email,Gender,Birthyear,Order Date,Total Purchase Amount,Subscription Days,Total Orders,Total Spent,User ID,Food ID,Drink ID,Order ID,Food Quantity,Drink Quantity,Subscription Level,Support Inquiries,Customer Satisfaction,Return Records,Cart Abandon Rate
유은주,gimseoyeong@hanmail.net,female,2007,2022-07-12,281.21,204,4,2667.88,847,4,46,671,3,10,베이직,3,3,4,0.89
황정자,ngim@nate.com,female,1932,2023-01-13,474.66,280,9,294.32,263,34,43,72,5,7,프리미엄,2,1,4,0.24
이지영,jeongja47@gmail.com,female,1964,2024-04-08,468.52,317,44,1191.24,637,98,24,379,6,4,베이직,3,5,1,0.56
안우진,ljeong@dreamwiz.com,male,2006,2022-12-27,143.32,351,49,1050.22,438,15,33,963,8,5,프리미엄,5,2,2,0.57
이영길,gimyeongjin@live.com,male,2014,2024-03-30,171.92,307,23,711.49,549,11,37,642,10,4,프리미엄,10,1,2,0.52
성하윤,ryumigyeong@hanmail.net,male,2005,2024-03-24,232.89,153,29,1267.51,686,93,18,329,4,1,어드밴스드,0,4,4,0.07
김준영,hyeonsug17@naver.com,male,2006,2023-01-12,108.74,232,5,3664.0,790,94,43,4,4,9,베이직,4,2,4,0.45
강승현,bagjaeho@nate.com,male,2014,2023-09-13,145.21,110,12,1228.88,650,46,19,467,2,2,어드밴스드,7,1,2,0.46
김영길,yeongsungim@hotmail.com,female,1963,2023-09-15,99.29,192,24,2115.02,557,91,30,465,2,2,베이직,6,4,4,0.23
서승민,jeongsunryu@hotmail.com,female,1947,2024-05-30,408.73,112,44,4380.29,510,100,20,273,6,6,프리미엄,6,5,0,0.18
이지우,gwangsubag@naver.com,female,1932,2023-01-25,51.14,347,19,1304.04,875,65,12,172,4,8,어드밴스드,3,1,5,0.89
최옥순,seongmin74@gmail.com,female,2005,2023-12-25,248.07,200,50,2017.89,159,5,39,638,8,3,어드밴스드,3,4,2,0.17
박승현,gangsunog@nate.com,male,1954,2022-11-05,354.59,237,22,3853.04,712,54,3,373,5,5,어드밴스드,0,3,3,0.07
나민준,seongsuyun@dreamwiz.com,female,1940,2024-02-19,336.44,90,42,4705.55,30,40,1,877,8,5,베이직,3,4,2,0.81
한영환,wbag@hanmail.net,female,2005,2024-05-25,244.49,48,47,353.06,290,54,45,196,2,7,어드밴스드,6,5,5,0.09
최주원,yseo@nate.com,female,1975,2024-04-05,71.64,136,43,2727.53,173,99,6,530,7,5,어드밴스드,0,5,3,0.92
신지우,sunogjeong@live.com,male,2006,2023-06-25,343.0,88,39,3904.44,990,16,24,720,5,7,프리미엄,0,3,0,0.16
한아름,seoyeongi@naver.com,female,1955,2023-02-25,288.49,42,34,1860.97,643,6,50,348,5,3,어드밴스드,5,2,2,0.98
김명숙,cunja86@gmail.com,male,2009,2022-10-05,334.22,303,35,2705.74,911,70,2,64,5,1,베이직,4,5,0,0.97
이지혜,sunjai@hanmail.net,male,2013,2023-01-01,463.36,208,25,4264.15,348,100,24,944,2,6,베이직,9,4,2,0.19
유광수,idoyun@daum.net,female,2009,2023-01-07,209.15,4,8,1041.39,797,46,4,152,6,2,프리미엄,2,3,0,0.16
손재현,ojinu@live.com,female,2013,2023-06-22,158.55,31,27,4248.75,127,77,19,213,5,9,어드밴스드,4,3,5,0.11
김상호,agim@hanmail.net,male,1934,2022-08-08,276.01,210,8,3578.21,114,8,26,183,7,3,프리미엄,7,2,1,0.41
권현주,yeonghyigim@dreamwiz.com,male,1947,2024-02-12,29.84,303,36,2496.91,927,79,32,24,10,5,어드밴스드,8,4,4,0.68
배영진,migyeong20@dreamwiz.com,female,2014,2022-08-03,400.83,198,47,4902.01,839,80,17,256,5,4,어드밴스드,2,5,1,0.75
고예준,qo@naver.com,male,2013,2022-12-21,420.27,20,22,2511.6,841,37,9,577,9,1,어드밴스드,6,3,4,0.68
김영식,yeongceol01@live.com,male,2011,2022-07-28,45.5,318,46,3084.41,208,57,16,65,6,5,어드밴스드,1,2,0,0.71
김경희,bagsanghyeon@hanmail.net,female,2010,2024-04-05,334.14,211,41,4529.06,793,31,45,881,9,5,프리미엄,5,5,0,0.39
손예원,juweon03@naver.com,male,1982,2023-10-04,39.58,126,37,4311.42,122,48,41,753,5,3,어드밴스드,10,2,4,0.31
박영식,gimyunseo@nate.com,female,1949,2024-03-29,364.51,59,17,237.57,963,4,42,820,5,10,어드밴스드,4,5,3,0.55
김민석,simyejun@nate.com,female,2010,2022-09-13,60.02,317,8,4895.14,323,1,16,868,3,2,프리미엄,5,4,0,0.1
박영호,qyun@live.com,male,2011,2023-02-04,290.29,77,1,596.15,653,99,11,83,8,2,프리미엄,10,4,3,0.93
김재호,isujin@daum.net,female,1935,2023-10-25,436.49,316,6,3299.34,812,14,44,671,1,6,베이직,9,3,4,0.88
한미정,myeongjana@naver.com,male,2013,2023-06-03,423.01,325,10,1669.98,18,20,11,873,9,10,프리미엄,2,5,0,0.13
최시우,bagyejin@hotmail.com,female,2014,2022-11-16,144.92,163,35,3417.71,912,54,49,937,2,5,베이직,6,5,0,0.45
문정순,hyeonjeonghwang@dreamwiz.com,female,2011,2023-03-08,110.28,137,47,3514.77,291,67,14,412,2,7,베이직,0,1,1,0.59
